FEN,Evaluation
r1bq1b1r/p2pPppp/npp5/4p3/P3nP2/R7/1PP3PP/1NBQKBNR b KQkq - 0 1,1.0
rnb1Qbnr/pp2p1pp/2p2p2/q7/4p3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,1.0
r3Qb1r/pp2pppp/n4n2/8/6b1/2N5/PPP2PPP/R1B1KBNR b KQkq - 0 1,1.0
rnb1Nbnr/pp2p1pp/8/5p2/2p5/8/PPPQ1PPP/R1B1KBNR b KQkq - 0 1,1.0
Nnb2bnr/pp3ppp/3Qp3/2p5/8/8/PPP2PPP/R1B1KBNR b KQkq - 0 1,
1Nnb2bnr/pp3ppp/3Qp3/2p5/8/8/PPP2PPP/R1B1KBNR b KQkq - 0 1,
11rbqQbnr/ppp1pppp/8/8/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqQbnr/ppp1pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
r1bqkbnr/pppppppp/2n5/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqkbnr/pppppppp/2n5/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
1rbqkbnr/pppppppp/2n1P3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
r1bqkbnr/pppppppp/2n1P3/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
r1bqkbnr/pppPpppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,1.0
1rbqkbnr/pppPpppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/4p3/8/1b1PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/4p3/8/1b1PP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 1,1.0
rnbqk1nr/pppp1ppp/4p3/8/3PP3/2b5/PP3PPP/RNBQKBNR b KQkq - 0 1,-1.0
rnbqk1nr/pppp1ppp/4p3/8/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 1,1.0
rnb1k1nr/ppppqppp/4p3/8/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 1,-1.0
rnb1k1nr/ppppqppp/4p3/8/3PP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/8/3PP3/P1N2N2/1P3PPP/R1BQKB1R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/8/3PP3/P1N2N2/1P3PPP/R1BQKB1R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/n3p3/8/1P1PP3/P1N2N2/5PPP/R1BQKB1R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/8/1P1PP3/P1N2N2/5PPP/R1BQKB1R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/8/1P1PP3/P1NB1N2/5PPP/R1BQK2R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/8/1P1PP3/P1NB1N2/5PPP/R1BQK2R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/n3p3/1P6/3PP3/P1NB1N2/5PPP/R1BQK2R w KQkq - 0 1,1.0
r1b1k1nr/ppppqppp/n3p3/1P6/3PP3/P1NB1N2/5PPP/R1BQK2R b KQkq - 0 1,-1.0
r1b1k1nr/ppppqppp/n3p3/1P6/Q2PP3/P1NB1N2/5PPP/R1B1K2R w KQkq - 0 1,1.0
1rb1k1nr/ppppqppp/n3p3/1P6/Q2PP3/P1NB1N2/5PPP/R1B1K2R b KQkq - 0 1,-1.0
1rb1k1nr/ppppqppp/P3p3/8/Q2PP3/P1NB1N2/5PPP/R1B1K2R w KQkq - 0 1,1.0
